x,y,indoor
529830.5,180525.0,False
529833.0,180525.0,False
529835.5,180525.0,False
529838.0,180525.0,False
529840.5,180525.0,False
529843.0,180525.0,False
529845.5,180525.0,False
529848.0,180525.0,False
529850.5,180525.0,False
529853.0,180525.0,False
529855.5,180525.0,False
529858.0,180525.0,False
529860.5,180525.0,False
529863.0,180525.0,False
529865.5,180525.0,False
529868.0,180525.0,False
528888.0,180527.5,True
528890.5,180527.5,True
528893.0,180527.5,True
528895.5,180527.5,True
528898.0,180527.5,True
528900.5,180527.5,True
528903.0,180527.5,True
528905.5,180527.5,False
528908.0,180527.5,False
528910.5,180527.5,False
528913.0,180527.5,False
528915.5,180527.5,False
528918.0,180527.5,False
528920.5,180527.5,False
528923.0,180527.5,False
528925.5,180527.5,False
528928.0,180527.5,True
528930.5,180527.5,True
528933.0,180527.5,True
528935.5,180527.5,False
528938.0,180527.5,False
528940.5,180527.5,True
528943.0,180527.5,True
528945.5,180527.5,True
528948.0,180527.5,True
528950.5,180527.5,True
528953.0,180527.5,True
528955.5,180527.5,True
528958.0,180527.5,True
528960.5,180527.5,False
528963.0,180527.5,False
528965.5,180527.5,False
528968.0,180527.5,False
528970.5,180527.5,False
528973.0,180527.5,False
528975.5,180527.5,False
528978.0,180527.5,False
528980.5,180527.5,False
528983.0,180527.5,False
528985.5,180527.5,False
528988.0,180527.5,False
528990.5,180527.5,False
528993.0,180527.5,False
528995.5,180527.5,False
528998.0,180527.5,False
529000.5,180527.5,False
529003.0,180527.5,False
529005.5,180527.5,True
529008.0,180527.5,True
529010.5,180527.5,True
529013.0,180527.5,True
529015.5,180527.5,True
529018.0,180527.5,True
529020.5,180527.5,True
529023.0,180527.5,True
529025.5,180527.5,True
529028.0,180527.5,True
529030.5,180527.5,True
529033.0,180527.5,True
529035.5,180527.5,False
529038.0,180527.5,False
529040.5,180527.5,False
529043.0,180527.5,False
529045.5,180527.5,False
529048.0,180527.5,True
529050.5,180527.5,True
529053.0,180527.5,False
529055.5,180527.5,False
529058.0,180527.5,False
529060.5,180527.5,False
529063.0,180527.5,True
529065.5,180527.5,True
529068.0,180527.5,True
529070.5,180527.5,True
529073.0,180527.5,True
529075.5,180527.5,True
529078.0,180527.5,True
529080.5,180527.5,False
529083.0,180527.5,False
529085.5,180527.5,True
529088.0,180527.5,True
529090.5,180527.5,True
529093.0,180527.5,True
529095.5,180527.5,True
529098.0,180527.5,True
529100.5,180527.5,False
529103.0,180527.5,False
529105.5,180527.5,False
529108.0,180527.5,True
529110.5,180527.5,True
529113.0,180527.5,True
529115.5,180527.5,True
529118.0,180527.5,True
529120.5,180527.5,True
529123.0,180527.5,True
529125.5,180527.5,False
529128.0,180527.5,False
529130.5,180527.5,False
529133.0,180527.5,False
529135.5,180527.5,False
529138.0,180527.5,False
529140.5,180527.5,False
529143.0,180527.5,True
529145.5,180527.5,True
529148.0,180527.5,True
529150.5,180527.5,True
529153.0,180527.5,True
529155.5,180527.5,True
529158.0,180527.5,False
529160.5,180527.5,False
529163.0,180527.5,True
529165.5,180527.5,True
529168.0,180527.5,True
529170.5,180527.5,True
529173.0,180527.5,True
529175.5,180527.5,True
529178.0,180527.5,True
529180.5,180527.5,False
529183.0,180527.5,False
529185.5,180527.5,False
529188.0,180527.5,True
529190.5,180527.5,True
529193.0,180527.5,True
529195.5,180527.5,True
529198.0,180527.5,True
529200.5,180527.5,True
529203.0,180527.5,True
529205.5,180527.5,True
529208.0,180527.5,True
529210.5,180527.5,True
529213.0,180527.5,True
529215.5,180527.5,True
529218.0,180527.5,True
529220.5,180527.5,True
529223.0,180527.5,True
529225.5,180527.5,True
529228.0,180527.5,True
529230.5,180527.5,True
529233.0,180527.5,True
529235.5,180527.5,True
529238.0,180527.5,True
529240.5,180527.5,False
529243.0,180527.5,False
529245.5,180527.5,False
529248.0,180527.5,False
529250.5,180527.5,False
529253.0,180527.5,False
529255.5,180527.5,False
529258.0,180527.5,False
529260.5,180527.5,False
529263.0,180527.5,False
529265.5,180527.5,False
529268.0,180527.5,False
529270.5,180527.5,False
529273.0,180527.5,False
529275.5,180527.5,False
529278.0,180527.5,False
529280.5,180527.5,False
529283.0,180527.5,False
529285.5,180527.5,False
529288.0,180527.5,False
529290.5,180527.5,False
529293.0,180527.5,False
529295.5,180527.5,False
529298.0,180527.5,False
529300.5,180527.5,False
529303.0,180527.5,False
529305.5,180527.5,False
529308.0,180527.5,False
529310.5,180527.5,False
529313.0,180527.5,False
529315.5,180527.5,False
529318.0,180527.5,False
529320.5,180527.5,False
529323.0,180527.5,False
529325.5,180527.5,False
529328.0,180527.5,True
529330.5,180527.5,True
529333.0,180527.5,True
529335.5,180527.5,True
529338.0,180527.5,True
529340.5,180527.5,True
529343.0,180527.5,True
529345.5,180527.5,True
529348.0,180527.5,True
529350.5,180527.5,True
529353.0,180527.5,True
529355.5,180527.5,True
529358.0,180527.5,True
529360.5,180527.5,True
529363.0,180527.5,True
529365.5,180527.5,True
529368.0,180527.5,True
529370.5,180527.5,True
529373.0,180527.5,True
529375.5,180527.5,True
529378.0,180527.5,False
529380.5,180527.5,False
529383.0,180527.5,False
529385.5,180527.5,False
529388.0,180527.5,False
529390.5,180527.5,False
529393.0,180527.5,False
529395.5,180527.5,False
529398.0,180527.5,False
529400.5,180527.5,False
529403.0,180527.5,False
529405.5,180527.5,False
529408.0,180527.5,False
529410.5,180527.5,False
529413.0,180527.5,False
529415.5,180527.5,False
529418.0,180527.5,False
529420.5,180527.5,False
529423.0,180527.5,False
529425.5,180527.5,False
529428.0,180527.5,False
529430.5,180527.5,False
529433.0,180527.5,False
529435.5,180527.5,False
529438.0,180527.5,False
529440.5,180527.5,True
529443.0,180527.5,True
529445.5,180527.5,True
529448.0,180527.5,True
529450.5,180527.5,True
529453.0,180527.5,True
529455.5,180527.5,True
529458.0,180527.5,True
529460.5,180527.5,True
529463.0,180527.5,True
529465.5,180527.5,True
529468.0,180527.5,True
529470.5,180527.5,True
529473.0,180527.5,True
529475.5,180527.5,True
529478.0,180527.5,True
529480.5,180527.5,True
529483.0,180527.5,True
529485.5,180527.5,True
529488.0,180527.5,True
529490.5,180527.5,True
529493.0,180527.5,True
529495.5,180527.5,True
529498.0,180527.5,True
529500.5,180527.5,True
529503.0,180527.5,True
529505.5,180527.5,False
529508.0,180527.5,False
529510.5,180527.5,False
529513.0,180527.5,False
529515.5,180527.5,False
529518.0,180527.5,False
529520.5,180527.5,False
529523.0,180527.5,False
529525.5,180527.5,False
529528.0,180527.5,False
529530.5,180527.5,False
529533.0,180527.5,False
529535.5,180527.5,True
529538.0,180527.5,True
529540.5,180527.5,True
529543.0,180527.5,True
529545.5,180527.5,True
529548.0,180527.5,True
529550.5,180527.5,False
529553.0,180527.5,False
529555.5,180527.5,False
529558.0,180527.5,False
529560.5,180527.5,False
529563.0,180527.5,False
529565.5,180527.5,False
529568.0,180527.5,False
529570.5,180527.5,True
529573.0,180527.5,False
529575.5,180527.5,False
529578.0,180527.5,True
529580.5,180527.5,True
529583.0,180527.5,True
529585.5,180527.5,True
529588.0,180527.5,True
529590.5,180527.5,True
529593.0,180527.5,False
529595.5,180527.5,False
529598.0,180527.5,False
529600.5,180527.5,False
529603.0,180527.5,False
529605.5,180527.5,False
529608.0,180527.5,True
529610.5,180527.5,True
529613.0,180527.5,True
529615.5,180527.5,True
529618.0,180527.5,True
529620.5,180527.5,True
529623.0,180527.5,True
529625.5,180527.5,True
529628.0,180527.5,True
529630.5,180527.5,True
529633.0,180527.5,True
529635.5,180527.5,True
529638.0,180527.5,True
529640.5,180527.5,True
529643.0,180527.5,True
529645.5,180527.5,False
529648.0,180527.5,False
529650.5,180527.5,False
529653.0,180527.5,False
529655.5,180527.5,False
529658.0,180527.5,False
529660.5,180527.5,False
529663.0,180527.5,True
529665.5,180527.5,True
529668.0,180527.5,True
529670.5,180527.5,True
529673.0,180527.5,True
529675.5,180527.5,True
529678.0,180527.5,True
529680.5,180527.5,True
529683.0,180527.5,True
529685.5,180527.5,True
529688.0,180527.5,True
529690.5,180527.5,True
529693.0,180527.5,True
529695.5,180527.5,True
529698.0,180527.5,True
529700.5,180527.5,True
529703.0,180527.5,True
529705.5,180527.5,True
529708.0,180527.5,True
529710.5,180527.5,True
529713.0,180527.5,True
529715.5,180527.5,True
529718.0,180527.5,True
529720.5,180527.5,False
529723.0,180527.5,False
529725.5,180527.5,False
529728.0,180527.5,False
529730.5,180527.5,True
529733.0,180527.5,True
529735.5,180527.5,True
529738.0,180527.5,True
529740.5,180527.5,True
529743.0,180527.5,True
529745.5,180527.5,True
529748.0,180527.5,True
529750.5,180527.5,True
529753.0,180527.5,True
529755.5,180527.5,True
529758.0,180527.5,True
529760.5,180527.5,True
529763.0,180527.5,False
529765.5,180527.5,True
529768.0,180527.5,True
529770.5,180527.5,True
529773.0,180527.5,True
529775.5,180527.5,True
529778.0,180527.5,True
529780.5,180527.5,True
529783.0,180527.5,True
529785.5,180527.5,True
529788.0,180527.5,True
529790.5,180527.5,True
529793.0,180527.5,True
529795.5,180527.5,True
529798.0,180527.5,True
529800.5,180527.5,True
529803.0,180527.5,True
529805.5,180527.5,True
529808.0,180527.5,True
529810.5,180527.5,True
529813.0,180527.5,True
529815.5,180527.5,True
529818.0,180527.5,True
529820.5,180527.5,True
529823.0,180527.5,True
529825.5,180527.5,True
529828.0,180527.5,False
529830.5,180527.5,False
529833.0,180527.5,False
529835.5,180527.5,False
529838.0,180527.5,False
529840.5,180527.5,False
529843.0,180527.5,False
529845.5,180527.5,False
529848.0,180527.5,False
529850.5,180527.5,False
529853.0,180527.5,False
529855.5,180527.5,False
529858.0,180527.5,False
529860.5,180527.5,False
529863.0,180527.5,False
529865.5,180527.5,False
529868.0,180527.5,False
528888.0,180530.0,True
528890.5,180530.0,True
528893.0,180530.0,True
528895.5,180530.0,True
528898.0,180530.0,True
528900.5,180530.0,True
528903.0,180530.0,False
528905.5,180530.0,False
528908.0,180530.0,False
528910.5,180530.0,False
528913.0,180530.0,False
528915.5,180530.0,False
528918.0,180530.0,False
528920.5,180530.0,False
528923.0,180530.0,False
528925.5,180530.0,True
528928.0,180530.0,True
528930.5,180530.0,True
528933.0,180530.0,False
528935.5,180530.0,False
528938.0,180530.0,False
528940.5,180530.0,True
528943.0,180530.0,True
528945.5,180530.0,True
528948.0,180530.0,True
528950.5,180530.0,True
528953.0,180530.0,True
528955.5,180530.0,True
528958.0,180530.0,False
528960.5,180530.0,False
528963.0,180530.0,False
528965.5,180530.0,False
528968.0,180530.0,False
528970.5,180530.0,False
528973.0,180530.0,False
528975.5,180530.0,False
528978.0,180530.0,False
528980.5,180530.0,False
528983.0,180530.0,False
528985.5,180530.0,False
528988.0,180530.0,False
528990.5,180530.0,False
528993.0,180530.0,False
528995.5,180530.0,False
528998.0,180530.0,False
529000.5,180530.0,False
529003.0,180530.0,False
529005.5,180530.0,False
529008.0,180530.0,True
529010.5,180530.0,True
529013.0,180530.0,True
529015.5,180530.0,True
529018.0,180530.0,True
529020.5,180530.0,True
529023.0,180530.0,True
529025.5,180530.0,True
529028.0,180530.0,True
529030.5,180530.0,True
529033.0,180530.0,True
529035.5,180530.0,False
529038.0,180530.0,False
529040.5,180530.0,False
529043.0,180530.0,False
529045.5,180530.0,True
529048.0,180530.0,True
529050.5,180530.0,True
529053.0,180530.0,True
529055.5,180530.0,False
529058.0,180530.0,False
529060.5,180530.0,True
529063.0,180530.0,True
529065.5,180530.0,True
529068.0,180530.0,True
529070.5,180530.0,True
529073.0,180530.0,False
529075.5,180530.0,True
529078.0,180530.0,True
529080.5,180530.0,False
529083.0,180530.0,True
529085.5,180530.0,True
529088.0,180530.0,True
529090.5,180530.0,True
529093.0,180530.0,True
529095.5,180530.0,True
529098.0,180530.0,False
529100.5,180530.0,False
529103.0,180530.0,False
529105.5,180530.0,False
529108.0,180530.0,True
529110.5,180530.0,True
529113.0,180530.0,True
529115.5,180530.0,True
529118.0,180530.0,True
529120.5,180530.0,True
529123.0,180530.0,True
529125.5,180530.0,False
529128.0,180530.0,False
529130.5,180530.0,False
529133.0,180530.0,False
529135.5,180530.0,False
529138.0,180530.0,False
529140.5,180530.0,False
529143.0,180530.0,True
529145.5,180530.0,True
529148.0,180530.0,True
529150.5,180530.0,False
529153.0,180530.0,True
529155.5,180530.0,False
529158.0,180530.0,False
529160.5,180530.0,False
529163.0,180530.0,True
529165.5,180530.0,True
529168.0,180530.0,True
529170.5,180530.0,True
529173.0,180530.0,True
529175.5,180530.0,True
529178.0,180530.0,False
529180.5,180530.0,False
529183.0,180530.0,False
529185.5,180530.0,False
529188.0,180530.0,True
529190.5,180530.0,True
529193.0,180530.0,True
529195.5,180530.0,True
529198.0,180530.0,True
529200.5,180530.0,True
529203.0,180530.0,True
529205.5,180530.0,True
529208.0,180530.0,True
529210.5,180530.0,True
529213.0,180530.0,True
529215.5,180530.0,True
529218.0,180530.0,True
529220.5,180530.0,True
529223.0,180530.0,False
529225.5,180530.0,True
529228.0,180530.0,True
529230.5,180530.0,True
529233.0,180530.0,False
529235.5,180530.0,False
529238.0,180530.0,False
529240.5,180530.0,False
529243.0,180530.0,False
529245.5,180530.0,False
529248.0,180530.0,False
529250.5,180530.0,False
529253.0,180530.0,False
529255.5,180530.0,False
529258.0,180530.0,False
529260.5,180530.0,False
529263.0,180530.0,False
529265.5,180530.0,False
529268.0,180530.0,False
529270.5,180530.0,False
529273.0,180530.0,False
529275.5,180530.0,False
529278.0,180530.0,False
529280.5,180530.0,False
529283.0,180530.0,False
529285.5,180530.0,False
529288.0,180530.0,False
529290.5,180530.0,False
529293.0,180530.0,False
529295.5,180530.0,False
529298.0,180530.0,False
529300.5,180530.0,False
529303.0,180530.0,False
529305.5,180530.0,False
529308.0,180530.0,False
529310.5,180530.0,False
529313.0,180530.0,False
529315.5,180530.0,False
529318.0,180530.0,False
529320.5,180530.0,False
529323.0,180530.0,False
529325.5,180530.0,False
529328.0,180530.0,False
529330.5,180530.0,False
529333.0,180530.0,False
529335.5,180530.0,False
529338.0,180530.0,True
529340.5,180530.0,True
529343.0,180530.0,True
529345.5,180530.0,True
529348.0,180530.0,True
529350.5,180530.0,True
529353.0,180530.0,True
529355.5,180530.0,True
529358.0,180530.0,True
529360.5,180530.0,True
529363.0,180530.0,True
529365.5,180530.0,True
529368.0,180530.0,True
529370.5,180530.0,True
529373.0,180530.0,True
529375.5,180530.0,False
529378.0,180530.0,False
529380.5,180530.0,False
529383.0,180530.0,False
529385.5,180530.0,False
529388.0,180530.0,False
529390.5,180530.0,False
529393.0,180530.0,False
529395.5,180530.0,False
529398.0,180530.0,False
529400.5,180530.0,False
529403.0,180530.0,False
529405.5,180530.0,False
529408.0,180530.0,False
529410.5,180530.0,False
529413.0,180530.0,False
529415.5,180530.0,False
529418.0,180530.0,False
529420.5,180530.0,False
529423.0,180530.0,False
529425.5,180530.0,False
529428.0,180530.0,False
529430.5,180530.0,False
529433.0,180530.0,False
529435.5,180530.0,False
529438.0,180530.0,False
529440.5,180530.0,False
529443.0,180530.0,False
529445.5,180530.0,True
529448.0,180530.0,True
529450.5,180530.0,True
529453.0,180530.0,True
529455.5,180530.0,True
529458.0,180530.0,True
529460.5,180530.0,True
529463.0,180530.0,True
529465.5,180530.0,True
529468.0,180530.0,True
529470.5,180530.0,True
529473.0,180530.0,True
529475.5,180530.0,True
529478.0,180530.0,True
529480.5,180530.0,True
529483.0,180530.0,True
529485.5,180530.0,True
529488.0,180530.0,True
529490.5,180530.0,True
529493.0,180530.0,True
529495.5,180530.0,True
529498.0,180530.0,True
529500.5,180530.0,True
529503.0,180530.0,True
529505.5,180530.0,False
529508.0,180530.0,False
529510.5,180530.0,False
529513.0,180530.0,False
529515.5,180530.0,False
529518.0,180530.0,False
529520.5,180530.0,False
529523.0,180530.0,False
529525.5,180530.0,False
529528.0,180530.0,False
529530.5,180530.0,False
529533.0,180530.0,True
529535.5,180530.0,True
529538.0,180530.0,True
529540.5,180530.0,True
529543.0,180530.0,True
529545.5,180530.0,True
529548.0,180530.0,True
529550.5,180530.0,True
529553.0,180530.0,False
529555.5,180530.0,False
529558.0,180530.0,False
529560.5,180530.0,False
529563.0,180530.0,False
529565.5,180530.0,False
529568.0,180530.0,False
529570.5,180530.0,True
529573.0,180530.0,True
529575.5,180530.0,False
529578.0,180530.0,True
529580.5,180530.0,True
529583.0,180530.0,True
529585.5,180530.0,True
529588.0,180530.0,True
529590.5,180530.0,False
529593.0,180530.0,False
529595.5,180530.0,False
529598.0,180530.0,False
529600.5,180530.0,False
529603.0,180530.0,False
529605.5,180530.0,True
529608.0,180530.0,True
529610.5,180530.0,True
529613.0,180530.0,True
529615.5,180530.0,True
529618.0,180530.0,True
529620.5,180530.0,True
529623.0,180530.0,True
529625.5,180530.0,True
529628.0,180530.0,True
529630.5,180530.0,True
529633.0,180530.0,True
529635.5,180530.0,True
529638.0,180530.0,True
529640.5,180530.0,True
529643.0,180530.0,True
529645.5,180530.0,False
529648.0,180530.0,False
529650.5,180530.0,False
529653.0,180530.0,False
529655.5,180530.0,False
529658.0,180530.0,False
529660.5,180530.0,False
529663.0,180530.0,False
529665.5,180530.0,True
529668.0,180530.0,True
529670.5,180530.0,True
529673.0,180530.0,True
529675.5,180530.0,True
529678.0,180530.0,True
529680.5,180530.0,True
529683.0,180530.0,True
529685.5,180530.0,True
529688.0,180530.0,True
529690.5,180530.0,True
529693.0,180530.0,True
529695.5,180530.0,True
529698.0,180530.0,True
529700.5,180530.0,True
529703.0,180530.0,True
529705.5,180530.0,True
529708.0,180530.0,True
529710.5,180530.0,True
529713.0,180530.0,True
529715.5,180530.0,True
529718.0,180530.0,False
529720.5,180530.0,False
529723.0,180530.0,False
529725.5,180530.0,False
529728.0,180530.0,False
529730.5,180530.0,True
529733.0,180530.0,True
529735.5,180530.0,True
529738.0,180530.0,True
529740.5,180530.0,True
529743.0,180530.0,True
529745.5,180530.0,True
529748.0,180530.0,True
529750.5,180530.0,True
529753.0,180530.0,True
529755.5,180530.0,True
529758.0,180530.0,True
529760.5,180530.0,True
